,cell_line_name,tissue_name
1011075,PC346FLU1AM,prostate
1011089,PTENLNCAP,prostate
1011119,PTENLNCAPAI,prostate
1011134,PTENPC346FLU1,prostate
1011164,PTENVCAP,prostate
1012548,A2058,skin
1021097,A375,skin
1029484,HT144,skin
1032546,LOX IMVI,skin
1044078,M14,skin
1049509,MALME-3M,skin
1055008,MDA-MB-435,skin
1060670,RPMI7951,skin
1069024,SK-MEL-2,skin
1078587,SK-MEL-28,skin
1089915,SKMEL30,skin
1098322,SK-MEL-5,skin
1109287,UACC-257,skin
1120476,UACC62,skin
1135687,451Lu,skin
1142690,A101D,skin
1149597,Calu-1,skin
1151191,COLO 741,skin
1152107,COLO 792,skin
1158529,COLO 800,skin
1165005,COLO 829,skin
1172240,G-361,skin
1186215,IPC-298,skin
1191631,IST-MEL1,skin
1198322,LB2518-MEL,skin
1205152,Mel Ho,skin
1212111,MeWo,skin
1217741,MMAc-SF,skin
1218019,MZ-MEL-2,skin
1223816,MZ-MEL-7,skin
1224563,RVH-421,skin
1234539,WM115,skin
1243716,501-mel,skin
1249175,WM1716,skin
1254953,WM3619,skin
1260731,WT2-iPS,skin
1266296,WM3526,skin
1272074,WM1745,skin
1277852,CBRC014,skin
1283630,CBRC017,skin
1289408,CBRC016,skin
1295186,CBRC013,skin
1303811,CBRC008,skin
1309589,CBRC034,skin
1315367,CBRC002,skin
1318052,CBRC007,skin
1320790,CBRC026,skin
1323639,CBRC029,skin
1326482,CBRC042,skin
1329332,CBRC043,skin
1332095,CBRC050,skin
1334945,CBRC056,skin
1337795,CBRC058,skin
1340639,COLO 858,skin
1340955,RD,soft_tissue
1341702,Rh36,soft_tissue
1341834,SMS-CTR,soft_tissue
1357324,DDLS8817,soft_tissue
1358776,AGS,stomach
1366412,KATO III,stomach
1376464,SNU-16,stomach
1380001,KATOIIIFGF,stomach
1380028,KATOIIIHIGH4547,stomach
1380055,SNU16FGF,stomach
1380082,SNU16HIGH4547,stomach
1416367,647V,urinary_tract
1417604,BFTC-905,urinary_tract
1419367,HT-1197,urinary_tract
1420266,HT-1376,urinary_tract
1421122,J82,urinary_tract
1421806,JMSU-1,urinary_tract
1423014,KU-19-19,urinary_tract
1424123,RT-112,urinary_tract
1425068,RT-4,urinary_tract
1426656,SW780,urinary_tract
1427550,T24,urinary_tract
1428428,TCCSUP,urinary_tract
1430238,UM-UC-3,urinary_tract
1431078,VM-CUB-1,urinary_tract
1431273,MGH-U3,urinary_tract
1431498,JMSU1FGF,urinary_tract
1431525,MGHU3FGF,urinary_tract
1431552,RT112FGF,urinary_tract
1431579,RT4FGF,urinary_tract
1431606,SW780FGF,urinary_tract
